회사명,종목코드
한농화성,011500
현대백화점,069960
대호에이엘,069460
대웅제약,069620
마니커,027740
S&T홀딩스,036530
휴켐스,069260
세종공업,033530
포스코강판,058430
삼성출판사,068290
세이브존I&C,067830
교보증권,030610
한샘,009240
신세계건설,034300
우신시스템,017370
LG전자,066570
한국콜마홀딩스,024720
S&T모티브,064960
광주신세계,037710
일진디스플,020760
필룩스,033180
종근당바이오,063160
신한지주,055550
코웨이,021240
세아홀딩스,058650
LG생활건강,051900
LG화학,051910
대우건설,047040
포스코대우,047050
대우조선해양,042660
두산인프라코어,042670
진양화학,051630
동원F&B,049770
두산중공업,034020
한국내화,010040
한세예스24홀딩스,016450
대성홀딩스,016710
대원제약,003220
한국가스공사,036460
미래아이앤지,007120
화천기공,000850
팜스코,036580
케이티앤지,033780
현대중공업,009540
디씨엠,024090
AK홀딩스,006840
대한유화,006650
백산,035150
지투알,035000
체시스,033250
자화전자,033240
케이티,030200
하이트론씨스템즈,019490
제일기획,030000
디피씨,026890
케이씨,029460
대원화성,024890
E1,017940
SK가스,018670
다우기술,023590
영보화학,014440
SKC,011790
와이비로드,010600
한국주강,025890
덕양산업,024900
부산도시가스,015350
에쓰씨엔지니어링,023960
인지컨트롤스,023800
경동인베스트,012320
에스제이엠홀딩스,025530
콤텍시스템,031820
SK하이닉스,000660
MH에탄올,023150
국동,005320
동남합성,023450
삼성엔지니어링,028050
신도리코,029530
예스코,015360
퍼시스,016800
WISCOM,024070
동원수산,030720
미래산업,025560
KTB투자증권,030210
광전자,017900
한국단자공업,025540
현대산업개발,012630
디아이,003160
신성이엔지,011930
티에이치엔,019180
한온시스템,018880
다우인큐브,020120
세원정공,021820
세하,027970
영풍제지,006740
유니온,000910
한섬,020000
현대엘리베이터,017800
환인제약,016580
계룡건설산업,013580
두산건설,011160
서원,021050
에스원,012750
태경산업,015890
한화갤러리아타임월드,027390
신대양제지,016590
유양디앤유,011690
남해화학,025860
동원금속,018500
성안,011300
경인양행,012610
풀무원,017810
현대상선,011200
서울도시가스,017390
이구산업,025820
나라케이아이씨,007460
에넥스,011090
제이준코스메틱,025620
한국카본,017960
성지건설,005980
KPX케미칼,025000
지코,010580
태평양물산,007980
KC그린홀딩스,009440
문배철강,008420
웅진,016880
오뚜기,007310
일정실업,008500
한라,014790
LS산전,010120
대양금속,009190
이화산업,000760
동원시스템즈,014820
삼성중공업,010140
모토닉,009680
화신,010690
삼화페인트공업,000390
경동나비엔,009450
DB,012030
삼광글라스,005090
대림비앤코,005750
대한해운,005880
메리츠종금증권,008560
휴니드테크놀러지스,005870
수산중공업,017550
롯데케미칼,011170
세아베스틸,001430
호텔신라,008770
백광소재,014580
화승알앤에이,013520
신흥,004080
화승인더스트리,006060
극동유화,014530
고려산업,002140
대현,016090
동국실업,001620
광명전기,017040
부산산업,011390
STX,011810
고려아연,010130
청호컴넷,012600
우리들제약,004720
무림페이퍼,009200
현대차투자증권,001500
금비,008870
대동전자,008110
원림,005820
서흥,008490
성문전자,014910
동원,003580
일진홀딩스,015860
대영포장,014160
영화금속,012280
신풍제약,019170
동성제약,002210
키위미디어그룹,012170
한올바이오파마,009420
유니켐,011330
대창,012800
국보,001140
일성건설,013360
까뮤이앤씨,013700
보락,002760
선도전기,007610
씨아이테크,004920
광동제약,009290
갤럭시아에스엠,011420
남성,004270
KISCO홀딩스,001940
태영건설,009410
한국특수형강,007280
한솔로지스틱스,009180
삼양통상,002170
SK텔레콤,017670
진양폴리우레탄,010640
미창석유공업,003650
삼익THK,004380
미원상사,002840
서연,007860
세우글로벌,013000
현대모비스,012330
메디플란트,015540
KG케미칼,001390
대우부품,009320
현대해상,001450
현대그린푸드,005440
한국전력공사,015760
국도화학,007690
녹십자,006280
SIMPAC,009160
윌비스,008600
대창단조,015230
사조산업,007160
한익스프레스,014130
사조동아원,008040
경인전자,009140
무림P&P,009580
인디에프,014990
한솔피엔에스,010420
디와이,013570
방림,003610
대경기계기술,015590
한솔케미칼,014680
퍼스텍,010820
동원산업,006040
대덕전자,008060
한성기업,003680
이스타코,015020
태림포장,011280
아세아제지,002310
화천기계,010660
CJ씨푸드,011150
신화실업,001770
조일알미늄,018470
에스엘,005850
영원무역홀딩스,009970
더존비즈온,012510
보령제약,003850
암니스,007630
이건산업,008250
모나리자,012690
대구백화점,006370
우성사료,006980
유성기업,002920
한일철강,002220
삼익악기,002450
화성산업,002460
디티알오토모티브,007340
골든브릿지증권,001290
보해양조,000890
혜인,003010
금강공업,014280
엔케이물산,009810
율촌화학,008730
신원,009270
동방,004140
한국쉘석유,002960
부광약품,003000
풍산홀딩스,005810
부국증권,001270
계양전기,012200
한솔테크닉스,004710
동성화학,005190
DB금융투자,016610
한미사이언스,008930
삼진제약,005500
포스코,005490
범양건영,002410
파미셀,005690
동국제강,001230
대원전선,006340
이수화학,005950
삼성증권,016360
삼영무역,002810
한양증권,001750
금호석유화학,011780
유안타증권,003470
제일파마홀딩스,002620
에이엔피,015260
한창제지,009460
넥센,005720
삼성공조,006660
세방전지,004490
진원생명과학,011000
참엔지니어링,009310
한국프랜지공업,010100
코스모신소재,005070
덕성,004830
신영증권,001720
유진증권,001200
유화증권,003460
대덕GDS,004130
한신기계공업,011700
코스모화학,005420
가온전선,000500
S-Oil,010950
한화테크윈,012450
삼화전자공업,011230
현대제철,004020
써니전자,004770
현대비앤지스틸,004560
사조오양,006090
한화투자증권,003530
삼화전기,009470
SK증권,001510
평화홀딩스,010770
일신석재,007110
동부제철,016380
아이에스동서,010780
SH에너지화학,002360
대한화섬,003830
코리아써키트,007810
신세계,004170
OCI,010060
삼일제약,000520
인스코비,006490
일성신약,003120
현대건설,000720
TCC동양,002710
에이프로젠제약,003060
F&F,007700
아남전자,008700
현대미포조선,010620
GS건설,006360
삼아알미늄,006110
한국전자홀딩스,006200
삼성SDI,006400
삼성전기,009150
고려개발,004200
동부건설,005960
케이씨티시,009070
코오롱글로벌,003070
빙그레,005180
녹십자홀딩스,005250
신한,005450
조선내화,000480
현대약품,004310
남양유업,003920
남선알미늄,008350
한국화장품제조,003350
삼호,001880
현대종합상사,011760
LS,006260
SK네트웍스,001740
경농,002100
도레이케미칼,008000
티웨이홀딩스,004870
동방아그로,007590
송원산업,004430
진흥기업,002780
한국석유공업,004090
천일고속,000650
대원강업,000430
만호제강,001080
조광피혁,004700
세방,004360
동양철관,008970
대유에이텍,002880
남광토건,001260
삼영전자공업,005680
신영와코루,005800
오리엔트바이오,002630
조비,001550
한국공항,005430
조광페인트,004910
삼천리,004690
성보화학,003080
조흥,002600
금양,001570
사조대림,003960
남영비비안,002070
S&T중공업,003570
한신공영,004960
농심,004370
삼영화학공업,003720
성신양회,004980
신라교역,004970
신풍제지,002870
종근당홀딩스,001630
크라운해태홀딩스,005740
한독,002390
SG충방,001380
SK케미칼,006120
샘표,007540
흥아해운,003280
GS글로벌,001250
금호산업,002990
삼부토건,001470
삼화콘덴서공업,001820
페이퍼코리아,001020
동양,001520
한화,000880
JW중외제약,001060
영풍,000670
백광산업,001340
성창기업지주,000180
한창,005110
삼화왕관,004450
KR모터스,000040
고려제강,002240
태양금속공업,004100
선창산업,002820
DRB동일,004840
넥센타이어,002350
SG세계물산,004060
롯데정밀화학,004000
동화약품,000020
대림산업,000210
LG상사,001120
국제약품,002720
태광산업,003240
부산주공,005030
현대시멘트,006390
CS홀딩스,000590
신성통상,005390
DB하이텍,000990
대림통상,006570
유유제약,000220
강남제비스코,000860
대신증권,003540
NH투자증권,005940
미래에셋대우,006800
신일산업,002700
삼성제약,001360
삼성화재해상보험,000810
삼양식품,003230
한화손해보험,000370
NI스틸,008260
일동홀딩스,000230
대동공업,000490
오리온홀딩스,001800
깨끗한나라,004540
태원물산,001420
코오롱,002020
삼성전자,005930
대유플러스,000300
BYC,001460
쌍용자동차,003620
쌍용양회공업,003410
SPC삼립,005610
흥국화재,000540
우리종금,010050
일양약품,007570
한진,002320
한국수출포장공업,002200
현대자동차,005380
모나미,005360
한화케미칼,009830
아세아,002030
카프로,006380
롯데지주,004990
대한방직,001070
서울식품공업,004410
아이에이치큐,003560
LS네트웍스,000680
금호전기,001210
알보젠코리아,002250
하이트진로홀딩스,000140
노루홀딩스,000320
기아자동차,000270
효성,004800
CJ,001040
두산,000150
휴스틸,005010
DB손해보험,005830
대웅,003090
동양물산기업,002900
진양산업,003780
영진약품,003520
케이씨씨,002380
롯데칠성음료,005300
일신방직,003200
롯데푸드,002270
아모레퍼시픽그룹,002790
제주은행,006220
한솔홀딩스,004150
벽산,007210
한국제지,002300
롯데손해보험,000400
대한제분,001130
대상,001680
LG,003550
동아쏘시오홀딩스,000640
코리안리,003690
한국주철관공업,000970
한일시멘트,003300
엔피씨,004250
한국유리공업,002000
세아제강,003030
대한전선,001440
대한제당,001790
삼양홀딩스,000070
세기상사,002420
한국타이어월드와이드,000240
전방,000950
대한항공,003490
동일방직,001530
유한양행,000100
CJ대한통운,000120
메리츠화재,000060
경방,000050
유수홀딩스,000700
한진중공업홀딩스,003480
